ObjectID,origin_id,destination_id,OriginID,DestinationID,DestinationRank,total_cost
1555,GH_A1114A1,VAISALACCTV50,1,223,217,64038.109026561455000
1556,GH_A1114A1,VAISALACCTV59,1,229,218,81312.745023245501000
1557,GH_A1114A1,METCCTV00021,1,66,219,92773.169896888794000
1558,GH_A1114A1,METCCTV00020,1,65,220,92791.064057924086000
1559,GH_A1114A1,METCCTV00019,1,64,221,101958.516917187080000
1560,GH_A1114A1,METCCTV00018,1,63,222,101979.732667644460000
1561,GH_A1114A1,NB_A1167A1,1,74,223,104335.462125116780000
1562,GH_A167F1,GH_A167F1,2,8,1,0.000000000000000
1563,GH_A167F1,GH_A184A1,2,19,2,195.682629107776760
1564,GH_A167F1,GH_A167G1,2,9,3,310.971055007220850
1565,GH_A167F1,GH_A184B1,2,21,4,391.346681896501880
1566,GH_A167F1,GH_A184C1,2,22,5,677.274785237849300
1567,GH_A167F1,PS192,2,145,6,786.384503083784470
1568,GH_A167F1,PS193,2,146,7,874.911378822762800
1569,GH_A167F1,PS194,2,147,8,941.538380817080910
1570,GH_A167F1,NC_A167E1,2,92,9,1104.109641443342500
1571,GH_A167F1,NC_GNSA1,2,120,10,1104.826242434597600
1572,GH_A167F1,GH_A184D1,2,23,11,1190.048421031083100
1573,GH_A167F1,GH_B1426C1,2,39,12,1280.589793275041100
1574,GH_A167F1,GH_B1426D1,2,40,13,1344.034464507512400
1575,GH_A167F1,GH_CBSA1,2,43,14,1346.625587013126100
1576,GH_A167F1,PS195,2,148,15,1350.886084834379100
1577,GH_A167F1,GH_A167H1,2,10,16,1358.921118641488600
1578,GH_A167F1,NC_B1307B1,2,107,17,1460.022850921706800
1579,GH_A167F1,NC_A193L1,2,103,18,1488.138087497027500
1580,GH_A167F1,PS212,2,150,19,1529.662537132932400
1581,GH_A167F1,PS190,2,143,20,1664.291378142163000
1582,GH_A167F1,PS196,2,149,21,1743.768691121114400
1583,GH_A167F1,GH_B1296A1,2,33,22,1760.554830502864900
1584,GH_A167F1,NC_B1307A1,2,106,23,1774.761761186114200
1585,GH_A167F1,PS191,2,144,24,1811.196830139447000
1586,GH_A167F1,GH_B1426B1,2,38,25,1856.051585065136100
1587,GH_A167F1,GH_A167I1,2,11,26,1881.813998899842500
1588,GH_A167F1,NC_A189D1,2,99,27,1949.450338901656100
1589,GH_A167F1,NC_B1318D1,2,114,28,1976.346958523093000
1590,GH_A167F1,GH_B1426E1,2,41,29,2334.946006496769800
1591,GH_A167F1,GH_A184A2,2,20,30,2391.399757999437000
1592,GH_A167F1,NC_B1318C1,2,113,31,2494.836626897727000
1593,GH_A167F1,NC_A193K1,2,102,32,2632.700848665840100
1594,GH_A167F1,NC_A189C1,2,98,33,3028.351060443028500
1595,GH_A167F1,NC_A695F1,2,105,34,3112.439671738502500
1596,GH_A167F1,NC_A1058A1,2,84,35,3115.900866196027900
1597,GH_A167F1,GH_B1426A1,2,37,36,3166.389331557348700
1598,GH_A167F1,GH_A167J1,2,12,37,3306.492083353225600
1599,GH_A167F1,GH_B1296B1,2,34,38,3536.186802286122200
1600,GH_A167F1,NC_A188C1,2,97,39,3546.331189860483400
1601,GH_A167F1,NC_A186B1,2,94,40,3559.493876659077200
1602,GH_A167F1,NC_A1058B1,2,85,41,3745.730282984375200
1603,GH_A167F1,GH_A184E1,2,24,42,3792.102504048601100
1604,GH_A167F1,NC_A167D1,2,91,43,3808.667371705028000
1605,GH_A167F1,GH_B1296C1,2,35,44,3909.144931369923100
1606,GH_A167F1,NC_A188B1,2,96,45,3941.565296617875400
1607,GH_A167F1,GH_A167K1,2,13,46,4013.652366260645100
1608,GH_A167F1,NC_A1058C1,2,86,47,4144.163376027584500
1609,GH_A167F1,GH_A692A1,2,26,48,4147.935412182321700
1610,GH_A167F1,NC_A193J1,2,101,49,4215.143942317351500
1611,GH_A167F1,GH_A1114A1,2,7,50,4257.303350056911800
1612,GH_A167F1,GH_A167L1,2,14,51,4526.825247204424200
1613,GH_A167F1,NC_B1318B1,2,110,52,4629.796950580249400
1614,GH_A167F1,METCCTV00011,2,57,53,4631.074371622316000
1615,GH_A167F1,METCCTV00012,2,58,54,4635.990155703446400
1616,GH_A167F1,MC4092,2,45,55,4701.802496443026000
1617,GH_A167F1,NC_A188A1,2,95,56,4708.460838539826900
1618,GH_A167F1,NC_A1058D1,2,87,57,4950.547162395615500
1619,GH_A167F1,NC_A167C1,2,90,58,4971.970033230412800
1620,GH_A167F1,GH_B1296D1,2,36,59,4978.740838206481400
1621,GH_A167F1,NC_B1318B2,2,111,60,5005.658463559656400
1622,GH_A167F1,NC_A695E1,2,104,61,5008.641450344194700
1623,GH_A167F1,NC_FMRA1,2,119,62,5168.120074821522400
1624,GH_A167F1,GH_A184F1,2,25,63,5230.890330829919500
1625,GH_A167F1,MCJ05111,2,47,64,5452.613283461526400
1626,GH_A167F1,MCJ05171,2,51,65,5472.361673488851900
1627,GH_A167F1,NC_A191A2,2,100,66,5497.666577159940100
1628,GH_A167F1,GH_KSWA1,2,44,67,5579.801000961881100
1629,GH_A167F1,NC_B1318B3,2,112,68,5636.946121841826400
1630,GH_A167F1,NC_A167B1,2,89,69,5644.982078926334900
1631,GH_A167F1,MCA1Onslip,2,46,70,5646.952025777154600
1632,GH_A167F1,MCJ05161,2,50,71,5658.319151767437700
1633,GH_A167F1,MCJ05141,2,49,72,5777.901378349365600
1634,GH_A167F1,MCJ05131,2,48,73,5789.420859581656300
1635,GH_A167F1,NC_CHLA1,2,118,74,5789.914185641757300
1636,GH_A167F1,NC_B6324B1,2,116,75,5805.460201472352300
1637,GH_A167F1,METCCTV00009,2,55,76,5887.222950853093600
1638,GH_A167F1,NC_A186A1,2,93,77,5971.276773532704300
1639,GH_A167F1,NT_A191A1,2,130,78,5994.472512076875300
1640,GH_A167F1,GH_A694A1,2,28,79,6019.876764126471200
1641,GH_A167F1,NT_A193I1,2,142,80,6282.437746242632800
1642,GH_A167F1,GH_A167M1,2,15,81,6318.641962920440200
1643,GH_A167F1,NT_A191B1,2,131,82,6321.660437298519400
1644,GH_A167F1,GH_B6317A1,2,42,83,6420.995407882245700
1645,GH_A167F1,NC_A167A1,2,88,84,6433.759435768093700
1646,GH_A167F1,GH_A167N1,2,16,85,6442.232433573565700
1647,GH_A167F1,NT_A188A3,2,127,86,6460.807021889912000
1648,GH_A167F1,NT_A193H1,2,141,87,6582.535754562740300
1649,GH_A167F1,NT_A189B1,2,128,88,6679.978042219995600
1650,GH_A167F1,NT_A191C1,2,132,89,6777.979811061446500
1651,GH_A167F1,NC_B1318A1,2,108,90,6945.489365717450700
1652,GH_A167F1,GH_A695D1,2,32,91,7059.541279660647900
1653,GH_A167F1,NT_A193G1,2,140,92,7174.878993310114300
1654,GH_A167F1,NT_A188A2,2,126,93,7214.350985661242700
1655,GH_A167F1,ST_A194D1,2,202,94,7291.855969265866400
1656,GH_A167F1,NC_B6324A1,2,115,95,7357.887981690885700
1657,GH_A167F1,GH_A692B1,2,27,96,7362.291232370536800
1658,GH_A167F1,NC_B1318A2,2,109,97,7488.971199402965800
1659,GH_A167F1,GH_A695C1,2,31,98,7980.944997608457000
1660,GH_A167F1,GH_A167O1,2,17,99,7998.900696877115500
1661,GH_A167F1,NT_A191D1,2,133,100,8003.531885446534000
1662,GH_A167F1,NC_KPRA1,2,121,101,8268.389560999063200
1663,GH_A167F1,GH_A167P1,2,18,102,8406.442777836664400
1664,GH_A167F1,METCCTV00013,2,59,103,8670.398674821099100
1665,GH_A167F1,METCCTV00014,2,60,104,8679.354760622056300
