Sensor Name,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude
PER_PEOPLE-FTP_NC_B6324A1,POINT (-1.687562 54.9982172),111.180000305176,2.0,people-ftp,False,-1.687562,54.9982172
PER_PEOPLE-FTP_PS196,POINT (-1.621309 54.9735211),51.7200012207031,2.0,people-ftp,False,-1.621309,54.9735211
PER_PEOPLE-FTP_MCJ05141,POINT (-1.674332 54.9572422),10.3699998855591,2.0,people-ftp,False,-1.674332,54.9572422
PER_PEOPLE-FTP_SL_A1290A1,POINT (-1.489063 54.9186796),39.5299987792969,2.0,people-ftp,False,-1.489063,54.9186796
PER_PEOPLE-FTP_NC_B1318C1,POINT (-1.613131 54.9851999),57.0200004577637,2.0,people-ftp,False,-1.613131,54.9851999
PER_PEOPLE-FTP_NC_B1307B1,POINT (-1.61713 54.9741911),47.2900009155273,2.0,people-ftp,False,-1.61713,54.9741911
PER_PEOPLE-FTP_SL_BRRB1,POINT (-1.380946 54.904363),31.0900001525879,2.0,People ftp,False,-1.380946,54.904363
PER_PEOPLE-FTP_ST_A185A1,POINT (-1.482547 54.9787926),15.6599998474121,2.0,People ftp,False,-1.482547,54.9787926
PER_PEOPLE-FTP_NT_A193I1,POINT (-1.532631 54.9913304),27.4200000762939,2.0,people-ftp,False,-1.532631,54.9913304
PER_PEOPLE-FTP_NC_A188B1,POINT (-1.577155 54.9869802),45.060001373291,2.0,people-ftp,False,-1.577155,54.9869802
PER_PEOPLE-FTP_VAISALACCTV3382,POINT (-1.488976 54.7577587),108.349998474121,2.0,People ftp,False,-1.488976,54.7577587
PER_PEOPLE-FTP_ST_A194C2,POINT (-1.475257 54.9650643),17.4899997711182,2.0,People ftp,False,-1.475257,54.9650643
PER_PEOPLE-FTP_NC_A1058D1,POINT (-1.566187 54.9944395),41.2200012207031,2.0,people-ftp,False,-1.566187,54.9944395
PER_PEOPLE-FTP_GH_B1296B1,POINT (-1.584672 54.937346),159.5,2.0,people-ftp,False,-1.584672,54.937346
PER_PEOPLE-FTP_ST_A194C1,POINT (-1.472747 54.9660143),15.960000038147,2.0,People ftp,False,-1.472747,54.9660143
PER_PEOPLE-FTP_METCCTV00003,POINT (-1.805564 54.9302735),235.440002441406,2.0,people-ftp,False,-1.805564,54.9302735
PER_PEOPLE-FTP_GH_B1426B1,POINT (-1.615889 54.9521637),41.0299987792969,2.0,people-ftp,False,-1.615889,54.9521637
PER_PEOPLE-FTP_SL_A183H1,POINT (-1.409262 54.900673),51.4199981689453,2.0,people-ftp,False,-1.409262,54.900673
PER_PEOPLE-FTP_VAISALACCTV2359,POINT (-1.481049 54.594998),96.4499969482422,2.0,People ftp,False,-1.481049,54.594998
PER_PEOPLE-FTP_GH_A694A1,POINT (-1.684931 54.9621915),5.23000001907349,2.0,people-ftp,False,-1.684931,54.9621915
PER_PEOPLE-FTP_NT_A189B2,POINT (-1.590886 55.0322446),61.6399993896484,2.0,people-ftp,False,-1.590886,55.0322446
PER_PEOPLE-FTP_SL_A690G1,POINT (-1.467202 54.8465385),84.3000030517578,2.0,People ftp,False,-1.467202,54.8465385
PER_PEOPLE-FTP_SL_A1018D1,POINT (-1.383456 54.9153916),30.9400005340576,2.0,people-ftp,False,-1.383456,54.9153916
PER_PEOPLE-FTP_NT_A193D1,POINT (-1.446304 55.0419957),25.9899997711182,2.0,people-ftp,False,-1.446304,55.0419957
PER_PEOPLE-FTP_PS190,POINT (-1.622719 54.9695916),42.189998626709,2.0,people-ftp,False,-1.622719,54.9695916
PER_PEOPLE-FTP_ST_A1018A1,POINT (-1.430274 54.9948715),17.6399993896484,2.0,People ftp,False,-1.430274,54.9948715
PER_PEOPLE-FTP_SL_A1018C1,POINT (-1.389316 54.9276401),42.3800010681152,2.0,people-ftp,False,-1.389316,54.9276401
PER_PEOPLE-FTP_SL_HLRB1,POINT (-1.407462 54.9054924),40.5400009155273,2.0,People ftp,False,-1.407462,54.9054924
PER_PEOPLE-FTP_ST_A1290D1,POINT (-1.467476 54.9326183),41.2900009155273,2.0,People ftp,False,-1.467476,54.9326183
PER_PEOPLE-FTP_NB_A189A2,POINT (-1.565102 55.1066562),44.3600006103516,2.0,people-ftp,False,-1.565102,55.1066562
PER_PEOPLE-FTP_PS191,POINT (-1.622179 54.974101),54.4900016784668,2.0,people-ftp,False,-1.622179,54.974101
PER_PEOPLE-FTP_GH_A167P1,POINT (-1.577581 54.8944511),36.1800003051758,2.0,people-ftp,False,-1.577581,54.8944511
PER_PEOPLE-FTP_MCA1ONSLIP,POINT (-1.674092 54.9560024),14.3100004196167,2.0,people-ftp,False,-1.674092,54.9560024
PER_PEOPLE-FTP_GH_B1426C1,POINT (-1.612279 54.9568732),70.5899963378906,2.0,people-ftp,False,-1.612279,54.9568732
PER_PEOPLE-FTP_VAISALACCTV54,POINT (-1.516678 54.6544405),88.8300018310547,2.0,People ftp,False,-1.516678,54.6544405
PER_PEOPLE-FTP_VAISALACCTV57,POINT (-1.669964 54.7813431),116.779998779297,2.0,People ftp,False,-1.669964,54.7813431
PER_PEOPLE-FTP_ST_A194A1,POINT (-1.446471 54.9785232),3.76999998092651,2.0,People ftp,False,-1.446471,54.9785232
PER_PEOPLE-FTP_GH_A167M1,POINT (-1.584891 54.911929),81.129997253418,2.0,people-ftp,False,-1.584891,54.911929
PER_PEOPLE-FTP_NC_A167A1,POINT (-1.666665 55.0013371),118.26000213623,2.0,people-ftp,False,-1.666665,55.0013371
PER_PEOPLE-FTP_ST_A183A1,POINT (-1.428654 54.9968813),14.1999998092651,2.0,People ftp,False,-1.428654,54.9968813
